name,cut_shot
2018年2月7日 03時00分,1
2018年2月7日 04時00分,1
2018年2月7日 05時00分,0
2018年2月7日 06時00分,0
2018年2月7日 07時00分,0
2018年2月7日 08時00分,0
2018年2月7日 09時00分,0
2018年2月7日 10時00分,0
2018年2月7日 11時00分,0
2018年2月7日 12時00分,0
2018年2月7日 13時00分,0
2018年2月7日 14時00分,0
2018年2月7日 15時00分,0
2018年2月7日 16時00分,0
2018年2月7日 17時00分,0
2018年2月7日 18時00分,0
2018年2月7日 19時00分,0
2018年2月7日 20時00分,0
2018年2月7日 21時00分,0
2018年2月7日 22時00分,0
2018年2月7日 23時00分,0
2018年2月8日 00時00分,1
2018年2月8日 01時00分,1
2018年2月8日 02時00分,0
2018年2月8日 03時00分,0
2018年2月8日 04時00分,0
2018年2月8日 05時00分,0
2018年2月8日 06時00分,1
2018年2月8日 07時00分,0
2018年2月8日 08時00分,1
2018年2月8日 09時00分,0
2018年2月8日 10時00分,0
2018年2月8日 11時00分,0
2018年2月8日 12時00分,0
2018年2月8日 13時00分,1
2018年2月8日 14時00分,0
2018年2月8日 15時00分,0
2018年2月8日 16時00分,0
2018年2月8日 17時00分,0
2018年2月8日 18時00分,0
2018年2月8日 19時00分,0
2018年2月8日 20時00分,0
2018年2月8日 21時00分,0
2018年2月8日 22時00分,0
2018年2月8日 23時00分,0
2018年2月9日 00時00分,1
2018年2月9日 01時00分,0
2018年2月9日 02時00分,0
